,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
ITB,housing,2026-09-22,750.0000,88.2000,-0.2140,0.1997,-0.7624,-0.0907,-0.0692,-0.1279,-0.1894,-0.3761,-0.0529,0.2807,180476627.2087,0.2723,-0.1216,-0.0321,2.2402,0.0823,True,False,0.2884,0.2884,True
XHB,housing,2026-09-22,750.0000,96.9600,-0.1930,0.1313,-0.7749,-0.0834,-0.0718,-0.1482,-0.1813,-0.3263,-0.0557,0.2491,172923192.0030,0.2391,-0.1078,-0.0285,2.2175,0.0927,True,False,0.3027,0.2884,True
INDA,india,2026-09-22,750.0000,48.5000,-0.1228,0.1614,-0.9872,-0.0325,-0.0146,-0.0701,-0.1577,-0.2814,-0.0283,0.1244,252595163.1605,0.1400,-0.0539,-0.0635,2.5990,0.1856,True,False,0.3539,0.3539,True
IGF,grid/infra,2026-09-22,750.0000,63.3300,-0.0742,0.0096,-0.8230,-0.0272,-0.0359,-0.0876,-0.2152,-0.1038,-0.0269,0.0902,49237391.3453,0.0802,-0.0390,-0.0054,2.0531,0.2561,True,False,0.3670,0.3670,True
PAVE,grid/infra,2026-09-22,750.0000,53.0800,-0.1136,0.0944,-0.6201,-0.0184,-0.0534,-0.1441,-0.1139,-0.0439,-0.0377,0.1833,83896394.4263,0.1282,-0.0794,-0.0062,1.6156,0.1260,True,False,0.5923,0.3670,True
LIT,lithium,2026-09-22,750.0000,70.8300,-0.2236,0.2189,-0.8231,-0.0476,-0.0198,-0.1802,-0.1366,0.1743,-0.0452,0.2716,20117784.0709,0.2880,-0.1176,-0.0577,2.4484,0.0850,True,False,0.3955,0.3955,True
VNM,vietnam,2026-09-22,750.0000,17.4100,-0.1207,0.2476,-0.5185,-0.0435,-0.0026,-0.1082,-0.1390,-0.2037,-0.0413,0.2328,11418040.8051,0.1373,-0.1008,-0.0615,1.3618,0.0992,True,False,0.4996,0.4996,True
XRT,consumer,2026-09-22,750.0000,82.5600,-0.1041,0.1231,-0.5264,-0.0349,-0.0569,-0.0741,-0.1416,-0.2414,-0.0554,0.1978,292935192.7227,0.1162,-0.0857,-0.0085,1.3569,0.1168,True,False,0.5069,0.5069,False
XLY,discretionary,2026-09-22,750.0000,112.2300,-0.0931,0.1614,-0.4653,-0.0350,-0.0243,-0.0631,-0.1505,-0.2411,-0.0212,0.2001,653741447.9830,0.1027,-0.0866,-0.0625,1.1850,0.1154,True,False,0.5414,0.5414,False
PHO,water,2026-09-22,750.0000,68.2700,-0.0799,0.1642,-0.4858,-0.0192,-0.0290,-0.0188,-0.1574,-0.2295,-0.0315,0.1646,5015856.1517,0.0869,-0.0713,-0.0629,1.2194,0.1403,True,False,0.5559,0.5559,False
BOTZ,ai/robot,2026-09-22,750.0000,35.8200,-0.1391,0.0985,-0.5245,-0.0293,0.0032,-0.1067,-0.1321,-0.1564,-0.0036,0.2653,22637755.4263,0.1616,-0.1149,-0.0597,1.4069,0.0871,True,False,0.5564,0.5564,False
ARKQ,ai/robot,2026-09-22,750.0000,125.4900,-0.1275,0.1902,-0.3981,0.0107,0.0311,-0.0767,-0.1042,-0.0003,0.0265,0.3201,10943245.7261,0.1461,-0.1386,-0.1269,1.0538,0.0721,True,True,0.7602,0.5564,False
AIPO,ai/robot,2026-09-22,291.0000,29.0600,-0.1642,0.0882,-0.3992,0.0399,-0.0041,-0.2059,-0.0255,0.1339,-0.0003,0.4114,33870192.1312,0.1965,-0.1781,-0.0950,1.1030,0.0561,True,False,0.8029,0.5564,False
ROBO,ai/robot,2026-09-22,750.0000,80.2900,-0.1112,0.1122,-0.3979,0.0314,-0.0013,-0.1151,-0.0205,0.0315,-0.0035,0.2796,13313926.0340,0.1252,-0.1211,-0.0564,1.0339,0.0826,True,False,0.8097,0.5564,False
BAI,ai/robot,2026-09-22,479.0000,46.9300,-0.1346,0.2326,-0.2548,0.1557,0.0648,-0.1763,0.2031,0.1907,0.0525,0.5282,102285726.1888,0.1556,-0.2287,-0.2009,0.6801,0.0437,True,True,0.9152,0.5564,False
XME,base-metals,2026-09-22,750.0000,109.0000,-0.1783,0.1149,-0.4913,-0.0402,-0.0177,-0.0950,-0.1251,0.0449,-0.0805,0.3629,185033943.3488,0.2170,-0.1571,-0.1054,1.3808,0.0636,True,False,0.5632,0.5632,False
XLI,industrials,2026-09-22,750.0000,169.9800,-0.0862,0.0451,-0.5653,-0.0047,-0.0465,-0.1042,-0.1389,-0.0537,-0.0276,0.1525,1290073532.4367,0.0943,-0.0660,-0.0101,1.4285,0.1515,True,False,0.5780,0.5780,False
IYT,transport,2026-09-22,750.0000,79.8600,-0.1108,0.0971,-0.7044,-0.0108,-0.0661,-0.0956,-0.1015,-0.0450,-0.0491,0.1572,65317937.9268,0.1246,-0.0681,0.0000,1.8294,0.1469,True,False,0.5790,0.5790,False
JETS,transport,2026-09-22,750.0000,29.0100,-0.1348,0.2189,-0.4901,0.0179,-0.0374,-0.1053,0.0056,-0.0550,0.0073,0.2750,112960986.1955,0.1558,-0.1191,-0.0417,1.3083,0.0840,True,True,0.7333,0.5790,False
XLP,staples,2026-09-22,750.0000,81.9200,-0.0723,0.0657,-0.4467,-0.0065,-0.0286,-0.0383,-0.1715,-0.1184,-0.0251,0.1619,804992982.7304,0.0780,-0.0701,-0.0264,1.1121,0.1426,True,False,0.5907,0.5907,False
OIH,oil/gas,2026-09-22,750.0000,396.6300,-0.1262,0.5513,-0.4317,0.0327,-0.0150,-0.0218,-0.1737,0.3779,-0.0723,0.2923,114249397.3483,0.1444,-0.1266,-0.0934,1.1411,0.0790,True,False,0.6473,0.6473,False
ARGT,argentina,2026-09-22,750.0000,92.3900,-0.0992,0.2763,-0.4707,-0.0005,-0.0163,-0.0630,-0.1148,0.1517,-0.0417,0.2108,12734145.3254,0.1102,-0.0913,-0.0778,1.2067,0.1095,True,False,0.6763,0.6763,False
XLB,materials,2026-09-22,750.0000,49.7100,-0.0695,0.2640,-0.4028,-0.0053,-0.0350,-0.0743,-0.1270,-0.0647,-0.0477,0.1726,567559321.4109,0.0747,-0.0747,0.0000,0.9997,0.1338,True,False,0.6896,0.6896,False
DTCR,reit,2026-09-22,750.0000,28.6900,-0.1129,0.1218,-0.4172,0.0756,0.0218,-0.1546,0.0011,0.2487,0.0181,0.2706,17280705.8421,0.1273,-0.1172,-0.0742,1.0861,0.0853,True,True,0.8174,0.8174,False
WGMI,crypto-equity,2026-09-22,750.0000,50.9400,-0.2935,0.4131,-0.3170,0.0450,0.0523,-0.3340,0.1532,0.0556,0.0729,0.9259,30685208.0766,0.4154,-0.4009,-0.1896,1.0361,0.0249,True,True,0.8731,0.8731,False
PSI,semis,2026-09-22,750.0000,144.8800,-0.2286,0.1108,-0.3337,0.1845,0.0288,-0.2562,0.3322,0.8546,0.0653,0.6852,43141666.1959,0.2964,-0.2967,-0.1669,0.9990,0.0337,True,True,0.9158,0.9158,False
XSD,semis,2026-09-22,750.0000,524.5600,-0.1921,0.1259,-0.3555,0.1752,0.0400,-0.2322,0.4294,0.4551,0.0678,0.5403,55305582.5266,0.2377,-0.2340,-0.1436,1.0161,0.0427,True,True,0.9159,0.9158,False
DRAM,semis,2026-09-22,118.0000,61.5800,-0.2371,0.5253,-0.2760,,0.1095,-0.2788,,,0.0317,0.8592,1641677893.1660,0.3108,-0.3720,-0.2717,0.8354,0.0269,True,True,0.9167,0.9158,False
SMH,semis,2026-09-22,750.0000,596.0300,-0.1090,0.3215,-0.2469,0.2203,0.0559,-0.1506,0.3505,0.7024,0.0512,0.4412,3642716234.5657,0.1223,-0.1911,-0.1540,0.6400,0.0523,True,True,0.9647,0.9158,False
SOXX,semis,2026-09-22,750.0000,559.3400,-0.1455,0.3037,-0.2752,0.2630,0.0656,-0.1872,0.4854,0.9133,0.0766,0.5286,3768527179.0897,0.1703,-0.2289,-0.1692,0.7438,0.0437,True,True,0.9792,0.9158,False
EWY,korea,2026-09-22,750.0000,189.1600,-0.1370,0.2695,-0.2187,0.2446,0.0902,-0.1780,0.3052,1.2113,0.0015,0.6267,2234114958.4427,0.1588,-0.2714,-0.2376,0.5852,0.0369,True,True,0.9645,0.9645,False
QTUM,ai/robot,2026-09-22,750.0000,153.0400,-0.0916,0.1806,-0.2597,0.1536,0.0385,-0.1325,0.2200,0.2984,0.0348,0.3528,38398851.1659,0.1009,-0.1528,-0.1359,0.6604,0.0655,False,True,,,False
GRID,grid/infra,2026-09-22,750.0000,181.0800,-0.0900,0.0958,-0.3402,0.0331,0.0043,-0.1212,-0.0679,0.0391,0.0117,0.2647,85999412.7829,0.0989,-0.1146,-0.0749,0.8633,0.0873,False,True,,,False
IWM,bench,2026-09-22,750.0000,285.5800,-0.0615,0.2914,-0.4767,0.0433,-0.0294,-0.0814,-0.0138,-0.0056,-0.0327,0.1290,5923399865.6865,0.0655,-0.0559,-0.0058,1.1730,0.1790,False,False,,,False
EEM,em,2026-09-22,750.0000,68.8300,-0.0334,0.4323,-0.1318,0.1071,0.0447,-0.0751,0.0448,0.1370,0.0019,0.2535,1165418275.5900,0.0346,-0.1098,-0.1127,0.3150,0.0911,False,True,,,False
XLRE,realestate,2026-09-22,750.0000,42.5900,-0.0665,0.1601,-0.4828,0.0036,-0.0364,-0.0660,-0.1241,-0.1275,-0.0223,0.1378,219211018.6483,0.0713,-0.0597,-0.0097,1.1943,0.1675,False,False,,,False
VNQ,reit,2026-09-22,750.0000,93.8100,-0.0707,0.1655,-0.5278,0.0050,-0.0388,-0.0619,-0.1209,-0.1276,-0.0230,0.1340,307606431.8466,0.0761,-0.0580,-0.0096,1.3118,0.1724,False,False,,,False
PICK,base-metals,2026-09-22,750.0000,61.7200,-0.0971,0.3981,-0.3531,0.0414,-0.0030,-0.0540,0.0022,0.3108,-0.0513,0.2749,40192262.5814,0.1075,-0.1191,-0.0953,0.9031,0.0840,False,False,,,False
AIQ,ai/robot,2026-09-22,750.0000,66.3100,-0.0546,0.3201,-0.1831,0.1701,0.0655,-0.0533,0.2012,0.1767,0.0309,0.2983,70149148.0699,0.0578,-0.1292,-0.1558,0.4472,0.0774,False,True,,,False
KBWB,banks,2026-09-22,750.0000,92.3600,-0.0689,0.1724,-0.3836,0.0550,-0.0383,-0.0487,0.0195,0.0072,-0.0494,0.1795,150317509.9517,0.0740,-0.0777,-0.0092,0.9515,0.1286,False,False,,,False
IAI,fin-other,2026-09-22,750.0000,187.1000,-0.0528,0.2271,-0.2475,0.0418,-0.0131,-0.0368,-0.0492,-0.1102,-0.0450,0.2132,15793940.1672,0.0557,-0.0923,-0.0317,0.6033,0.1083,False,False,,,False
BLOK,crypto-equity,2026-09-22,750.0000,66.7900,-0.0912,0.5157,-0.2282,0.1163,0.0836,-0.0361,0.1011,-0.1728,0.0239,0.3996,12952989.2939,0.1003,-0.1730,-0.2918,0.5799,0.0578,False,True,,,False
KRE,banks,2026-09-22,750.0000,71.9900,-0.0710,0.4364,-0.4344,0.0351,-0.0388,-0.0360,-0.0368,-0.0631,-0.0381,0.1634,906972332.6673,0.0764,-0.0707,0.0000,1.0797,0.1414,False,False,,,False
QQQ,bench,2026-09-22,750.0000,741.4700,-0.0042,0.7510,-0.0198,0.1206,0.0450,-0.0359,0.0795,0.0690,0.0324,0.2103,22908048290.8163,0.0042,-0.0911,-0.1085,0.0458,0.1098,False,True,,,False
KBE,banks,2026-09-22,750.0000,66.0700,-0.0729,0.2668,-0.4693,0.0330,-0.0393,-0.0343,-0.0372,-0.0862,-0.0418,0.1554,85012664.2215,0.0787,-0.0673,0.0000,1.1691,0.1486,False,False,,,False
EWJ,japan,2026-09-22,750.0000,97.9600,-0.0061,0.7866,-0.0304,0.0967,0.0309,-0.0315,0.0143,0.0700,-0.0033,0.2006,340982876.1548,0.0061,-0.0868,-0.0106,0.0705,0.1151,False,False,,,False
EFA,dev-exus,2026-09-22,750.0000,106.1300,-0.0246,0.3283,-0.1900,0.0497,-0.0016,-0.0269,-0.0467,-0.0081,-0.0205,0.1296,1069514372.5962,0.0253,-0.0561,-0.0109,0.4499,0.1782,False,False,,,False
XLK,tech,2026-09-22,750.0000,194.8500,-0.0146,0.6525,-0.0505,0.2005,0.0642,-0.0265,0.2468,0.2366,0.0416,0.2897,1237927612.2935,0.0148,-0.1254,-0.1461,0.1184,0.0797,False,True,,,False
RSP,bench,2026-09-22,750.0000,212.6800,-0.0417,0.1819,-0.4063,0.0461,-0.0173,-0.0232,-0.0688,-0.0389,-0.0252,0.1027,1297773864.3767,0.0435,-0.0444,-0.0056,0.9791,0.2250,False,False,,,False
COPX,base-metals,2026-09-22,750.0000,87.4900,-0.0929,0.5185,-0.2207,0.0700,0.0229,-0.0076,0.0721,0.5217,-0.0350,0.4208,283564507.5803,0.1024,-0.1822,-0.0377,0.5620,0.0549,False,False,,,False
EWT,taiwan,2026-09-22,750.0000,115.6400,0.0000,1.0000,0.0000,0.3381,0.1087,-0.0048,0.4595,0.7129,0.0308,0.3584,396251732.4252,0.0000,-0.1552,0.0000,0.0000,0.0644,False,True,,,False
SPY,bench,2026-09-22,750.0000,773.5000,-0.0032,0.6648,-0.0270,0.0849,0.0201,0.0000,0.0000,0.0000,0.0068,0.1171,31563506957.6016,0.0032,-0.0507,-0.0276,0.0626,0.1972,False,True,,,False
FXI,china,2026-09-22,750.0000,34.9100,-0.1484,0.1614,-0.8619,-0.0374,-0.0075,0.0026,-0.1983,-0.3184,-0.0270,0.1722,561875811.1303,0.1743,-0.0746,-0.0951,2.3373,0.1341,False,False,,,False
XLF,financials,2026-09-22,750.0000,55.9000,-0.0420,0.2517,-0.3243,0.0491,-0.0190,0.0030,-0.0458,-0.1314,-0.0345,0.1297,1759889024.3814,0.0439,-0.0561,-0.0042,0.7817,0.1781,False,False,,,False
SHLD,defense-us,2026-09-22,750.0000,63.1800,-0.1876,0.0588,-0.7945,-0.0705,-0.0216,0.0044,-0.3321,-0.2274,0.0032,0.2361,58188663.3869,0.2309,-0.1022,-0.0818,2.2585,0.0978,False,True,,,False
IAK,fin-other,2026-09-22,750.0000,141.3400,-0.0673,0.0807,-0.3497,0.0451,-0.0260,0.0046,-0.0791,-0.0806,-0.0256,0.1924,14389609.6240,0.0722,-0.0833,0.0000,0.8660,0.1200,False,False,,,False
IHF,health-other,2026-09-22,750.0000,55.8600,-0.0365,0.6375,-0.2233,0.1141,-0.0153,0.0173,0.1236,-0.0107,-0.0249,0.1635,34834235.5721,0.0379,-0.0708,0.0000,0.5352,0.1412,False,False,,,False
IHI,health-other,2026-09-22,750.0000,51.9500,-0.1903,0.0944,-0.7411,-0.0527,-0.0214,0.0347,-0.2415,-0.3223,-0.0298,0.2568,133868395.5167,0.2350,-0.1112,-0.0875,2.1137,0.0899,False,False,,,False
XLC,comms,2026-09-22,750.0000,114.7500,-0.0357,0.3187,-0.1683,0.0132,0.0348,0.0357,-0.1669,-0.2036,0.0277,0.2120,514950931.3579,0.0370,-0.0918,-0.0847,0.4031,0.1090,False,True,,,False
XBI,biotech,2026-09-22,750.0000,158.2300,-0.0668,0.4665,-0.2327,0.1533,0.0043,0.0431,0.1178,0.4603,-0.0341,0.2869,1299267706.8819,0.0715,-0.1242,-0.0265,0.5758,0.0805,False,False,,,False
PPH,health-other,2026-09-22,750.0000,111.6600,-0.0527,0.4295,-0.2464,0.0562,-0.0008,0.0437,-0.0747,0.0996,-0.0223,0.2138,24989496.7039,0.0556,-0.0926,-0.0199,0.6007,0.1080,False,False,,,False
AMLP,oil/gas,2026-09-22,750.0000,54.3500,-0.0327,0.4364,-0.2611,0.0754,-0.0025,0.0515,-0.1306,0.0467,-0.0246,0.1254,56808363.9481,0.0339,-0.0543,0.0000,0.6233,0.1841,False,False,,,False
FCG,oil/gas,2026-09-22,750.0000,29.8200,-0.0840,0.6347,-0.2891,0.0652,-0.0038,0.0561,-0.2296,0.1096,-0.0512,0.2905,27779652.9474,0.0917,-0.1258,-0.1231,0.7288,0.0795,False,False,,,False
EWZ,brazil,2026-09-22,750.0000,38.0700,-0.0790,0.5349,-0.3588,0.0599,0.0550,0.0692,-0.1025,0.1068,0.0055,0.2202,944753444.3050,0.0858,-0.0954,-0.1234,0.8998,0.1049,False,True,,,False
SIL,silver,2026-09-22,750.0000,93.7600,-0.2045,0.1450,-0.4287,0.0341,0.0661,0.0886,-0.0130,0.2967,-0.0557,0.4771,100492565.9137,0.2571,-0.2066,-0.2384,1.2445,0.0484,False,False,,,False
XLV,health,2026-09-22,750.0000,169.0100,-0.0343,0.5144,-0.1798,0.0927,0.0163,0.0889,-0.0213,0.0718,-0.0105,0.1907,1237161199.1593,0.0355,-0.0826,-0.0253,0.4300,0.1211,False,False,,,False
MAGS,bench,2026-09-22,750.0000,72.9700,0.0000,1.0000,0.0000,0.1148,0.0757,0.0981,0.0515,-0.0323,0.0508,0.2342,243885473.8601,0.0000,-0.1014,0.0000,0.0000,0.0986,False,True,,,False
FDN,internet/ark,2026-09-22,750.0000,296.8500,0.0000,1.0000,0.0000,0.1192,0.0486,0.1012,0.0499,-0.1457,0.0206,0.2073,42300095.7341,0.0000,-0.0898,0.0000,0.0000,0.1114,False,True,,,False
ARKW,internet/ark,2026-09-22,750.0000,165.2400,-0.0791,0.4911,-0.2482,0.1659,0.1025,0.1117,0.1300,-0.1992,0.0398,0.3186,8811634.4516,0.0859,-0.1379,-0.3074,0.6224,0.0725,False,True,,,False
GDXJ,gold,2026-09-22,750.0000,122.6800,-0.2145,0.1286,-0.4116,0.0297,0.0688,0.1144,-0.0277,0.2494,-0.0492,0.5212,521318315.4625,0.2731,-0.2257,-0.2529,1.2102,0.0443,False,False,,,False
ARKK,internet/ark,2026-09-22,750.0000,90.7200,-0.0196,0.8440,-0.0518,0.1723,0.1248,0.1150,0.1133,-0.0929,0.0522,0.3773,388197501.0601,0.0200,-0.1634,-0.2998,0.1221,0.0612,False,True,,,False
GDX,gold,2026-09-22,750.0000,94.4300,-0.1848,0.1614,-0.3927,0.0412,0.0688,0.1178,-0.0201,0.1989,-0.0487,0.4706,2159768370.3891,0.2267,-0.2038,-0.2509,1.1125,0.0491,False,False,,,False
XLE,energy,2026-09-22,750.0000,62.4600,-0.0470,0.6799,-0.2165,0.1340,0.0245,0.1206,-0.1247,0.2606,-0.0192,0.2171,1964649118.6393,0.0493,-0.0940,0.0000,0.5246,0.1064,False,False,,,False
IBB,biotech,2026-09-22,750.0000,207.1600,-0.0451,0.4501,-0.1819,0.1558,0.0351,0.1288,0.0831,0.2614,-0.0224,0.2481,305965980.5882,0.0473,-0.1074,-0.0249,0.4398,0.0931,False,False,,,False
XOP,oil/gas,2026-09-22,750.0000,184.7500,-0.0712,0.7551,-0.2509,0.1540,0.0250,0.1558,-0.1421,0.2441,-0.0274,0.2836,569488090.5231,0.0766,-0.1228,0.0000,0.6239,0.0814,False,False,,,False
ARKF,fin-other,2026-09-22,750.0000,47.5000,-0.1917,0.2818,-0.5771,0.1126,0.0915,0.1630,0.0091,-0.3477,0.0085,0.3322,5582293.7449,0.2372,-0.1439,-0.2392,1.6490,0.0695,False,True,,,False
IGV,software,2026-09-22,750.0000,107.1300,-0.0903,0.3762,-0.2630,0.1437,0.0681,0.1853,0.0925,-0.2551,0.0245,0.3435,1089035820.3185,0.0993,-0.1487,-0.3031,0.6677,0.0672,False,True,,,False
CIBR,cyber,2026-09-22,750.0000,103.0900,0.0000,1.0000,0.0000,0.3122,0.0811,0.1928,0.4155,0.1629,0.0899,0.3436,164075857.7015,0.0000,-0.1488,0.0000,0.0000,0.0672,False,True,,,False
HACK,cyber,2026-09-22,750.0000,122.9800,0.0000,1.0000,0.0000,0.3502,0.0923,0.2558,0.4091,0.2251,0.1104,0.3949,39107076.2661,0.0000,-0.1710,0.0000,0.0000,0.0585,False,True,,,False
SKYY,software,2026-09-22,750.0000,168.2100,-0.0041,0.8564,-0.0142,0.2813,0.0963,0.2568,0.3108,0.0473,0.0412,0.2913,36962540.0971,0.0042,-0.1261,-0.0690,0.0330,0.0793,False,True,,,False
USO,oil/gas,2026-09-22,750.0000,148.1600,-0.0846,0.6990,-0.1629,0.3267,0.1114,0.2731,0.0215,0.7998,0.0437,0.5195,774149720.9451,0.0925,-0.2250,0.0000,0.4110,0.0445,False,True,,,False
IBIT,crypto-spot,2026-09-22,675.0000,49.0100,-0.3125,0.2561,-0.7924,0.1643,0.2262,0.3011,0.0337,-0.4496,0.0836,0.3944,2520812984.3455,0.4546,-0.1708,-0.3208,2.6619,0.0586,False,True,,,False
BUG,cyber,2026-09-22,750.0000,45.9700,0.0000,1.0000,0.0000,0.4025,0.1163,0.3384,0.5873,0.1208,0.1112,0.4812,66429278.2749,0.0000,-0.2084,0.0000,0.0000,0.0480,False,True,,,False
ARKG,biotech,2026-09-22,750.0000,51.8100,0.0000,1.0000,0.0000,0.5085,0.1734,0.3817,0.7902,0.6937,0.0991,0.4351,204510656.5871,0.0000,-0.1884,0.0000,0.0000,0.0531,False,True,,,False
WCLD,software,2026-09-22,750.0000,41.2800,-0.0433,0.8222,-0.1057,0.2733,0.0734,0.3848,0.2777,-0.0609,0.0138,0.4101,27809199.5802,0.0453,-0.1776,-0.0606,0.2551,0.0563,False,True,,,False
ETHA,crypto-spot,2026-09-22,543.0000,20.8500,-0.4174,0.4160,-0.8405,0.2166,0.2836,0.5548,0.0964,-0.5835,0.1258,0.4967,894237406.5517,0.7165,-0.2151,-0.4369,3.3318,0.0465,False,True,,,False
