,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
RSP,bench,2026-09-24,752.0000,210.2600,-0.0526,0.1228,-0.5288,0.0331,-0.0281,-0.0457,-0.0765,-0.0295,-0.0167,0.0995,1326674215.8863,0.0555,-0.0431,0.0000,1.2889,0.2321,False,False,,,False
EFA,dev-exus,2026-09-24,752.0000,104.5000,-0.0396,0.1924,-0.3031,0.0324,-0.0174,-0.0270,-0.0662,-0.0045,-0.0193,0.1307,1155010494.6673,0.0412,-0.0566,0.0000,0.7289,0.1767,False,False,,,False
XLF,financials,2026-09-24,753.0000,54.5300,-0.0655,0.1485,-0.4800,0.0229,-0.0416,-0.0236,-0.0610,-0.1389,-0.0378,0.1365,1927889174.7537,0.0701,-0.0591,0.0000,1.1862,0.1692,False,False,,,False
IHF,health-other,2026-09-24,752.0000,54.9700,-0.0519,0.5593,-0.3225,0.0949,-0.0295,-0.0191,0.1235,-0.0175,-0.0290,0.1608,35374791.1406,0.0547,-0.0696,-0.0002,0.7854,0.1436,False,False,,,False
EWJ,japan,2026-09-24,752.0000,95.8100,-0.0279,0.4502,-0.1375,0.0706,0.0070,-0.0143,-0.0238,0.0671,-0.0123,0.2029,358905746.6424,0.0287,-0.0878,0.0000,0.3267,0.1138,False,False,,,False
QQQ,bench,2026-09-24,753.0000,741.1000,-0.0085,0.6771,-0.0424,0.1169,0.0420,-0.0118,0.0895,0.0755,0.0468,0.2006,23814662693.3490,0.0086,-0.0869,0.0000,0.0988,0.1151,False,True,,,False
AIQ,ai/robot,2026-09-24,752.0000,65.9800,-0.0593,0.2974,-0.2013,0.1612,0.0572,-0.0080,0.2054,0.1669,0.0292,0.2946,60457711.6449,0.0630,-0.1276,-0.1516,0.4943,0.0784,False,True,,,False
XBI,biotech,2026-09-24,752.0000,156.0500,-0.0796,0.4134,-0.2815,0.1346,-0.0096,-0.0065,0.1262,0.4478,-0.0209,0.2829,1356532867.2124,0.0865,-0.1225,-0.0129,0.7062,0.0816,False,False,,,False
SPY,bench,2026-09-24,753.0000,767.1800,-0.0113,0.4237,-0.1013,0.0739,0.0102,0.0000,0.0000,0.0000,0.0149,0.1116,33320510156.9199,0.0114,-0.0483,-0.0195,0.2367,0.2070,False,True,,,False
SHLD,defense-us,2026-09-24,752.0000,61.6100,-0.2078,0.0259,-0.8693,-0.0935,-0.0468,0.0008,-0.3243,-0.2406,-0.0037,0.2390,74171972.5451,0.2623,-0.1035,-0.0584,2.5341,0.0966,False,False,,,False
