,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
ARGT,argentina,2026-09-25,753.0000,88.6000,-0.1362,0.1185,-0.6254,-0.0413,-0.0537,-0.0868,-0.1897,0.0021,-0.0713,0.2178,12698028.8885,0.1577,-0.0943,-0.0384,1.6719,0.1060,True,False,0.4712,5,0.4712,True
XLY,discretionary,2026-09-25,753.0000,110.5600,-0.1066,0.1172,-0.5485,-0.0482,-0.0352,-0.0919,-0.1816,-0.2489,-0.0191,0.1943,695306071.2072,0.1193,-0.0841,-0.0483,1.4178,0.1188,True,False,0.4834,3,0.4834,False
VNM,vietnam,2026-09-25,753.0000,17.2700,-0.1278,0.2153,-0.5488,-0.0498,-0.0098,-0.1201,-0.1538,-0.1950,-0.0131,0.2328,11041541.7735,0.1465,-0.1008,-0.0539,1.4531,0.0992,True,False,0.5156,3,0.5156,False
VNQ,reit,2026-09-25,753.0000,90.9900,-0.0908,0.0654,-0.7104,-0.0178,-0.0550,-0.1306,-0.1463,-0.1348,-0.0319,0.1279,358763019.5351,0.0999,-0.0554,0.0000,1.8046,0.1806,True,False,0.5296,5,0.5296,False
DTCR,reit,2026-09-25,753.0000,27.8400,-0.1392,0.0504,-0.5208,0.0382,-0.0085,-0.1500,-0.0178,0.1938,-0.0149,0.2672,16209787.9202,0.1617,-0.1157,-0.0460,1.3973,0.0864,True,False,0.7908,6,0.5296,False
IYT,transport,2026-09-25,753.0000,79.3500,-0.1164,0.0831,-0.7481,-0.0182,-0.0646,-0.1485,-0.1208,-0.0593,-0.0318,0.1557,78100792.4224,0.1318,-0.0674,-0.0054,1.9553,0.1484,True,False,0.5365,5,0.5365,False
JETS,transport,2026-09-25,753.0000,28.9800,-0.1357,0.2193,-0.4784,0.0156,-0.0321,-0.1899,-0.0430,-0.0254,0.0288,0.2836,126137636.0478,0.1570,-0.1228,-0.0407,1.2783,0.0814,True,True,0.7712,6,0.5365,False
XME,base-metals,2026-09-25,753.0000,108.3300,-0.1833,0.1008,-0.5009,-0.0478,-0.0289,-0.0571,-0.1679,0.0218,-0.0460,0.3660,169733304.8586,0.2245,-0.1585,-0.0998,1.4166,0.0631,True,False,0.5406,5,0.5406,False
PICK,base-metals,2026-09-25,753.0000,61.1400,-0.1056,0.3624,-0.3798,0.0269,-0.0175,-0.0059,-0.0513,0.2748,-0.0349,0.2780,31840920.4686,0.1180,-0.1204,-0.0867,0.9806,0.0831,True,False,0.8152,4,0.5406,False
XLRE,realestate,2026-09-25,753.0000,41.5600,-0.0891,0.0572,-0.6792,-0.0217,-0.0554,-0.1343,-0.1525,-0.1443,-0.0348,0.1312,233592180.0016,0.0978,-0.0568,0.0000,1.7221,0.1760,True,False,0.5418,5,0.5418,False
BOTZ,ai/robot,2026-09-25,753.0000,35.4000,-0.1492,0.0858,-0.5866,-0.0402,-0.0078,-0.0772,-0.1379,-0.1662,0.0034,0.2544,22382734.1577,0.1754,-0.1101,-0.0486,1.5924,0.0908,True,True,0.5671,6,0.5671,False
ARKQ,ai/robot,2026-09-25,753.0000,124.4200,-0.1349,0.1717,-0.4434,0.0002,0.0194,-0.0541,-0.1088,-0.0393,0.0252,0.3042,11058623.7977,0.1559,-0.1317,-0.1194,1.1836,0.0759,True,True,0.7516,6,0.5671,False
AIPO,ai/robot,2026-09-25,295.0000,28.8400,-0.1705,0.0761,-0.4343,0.0281,-0.0082,-0.1578,-0.0459,0.1079,-0.0045,0.3927,32411455.5947,0.2056,-0.1700,-0.0881,1.2092,0.0588,True,False,0.8154,6,0.5671,False
ROBO,ai/robot,2026-09-25,753.0000,81.0600,-0.1027,0.1444,-0.3762,0.0384,0.0078,-0.0722,-0.0263,0.0540,0.0246,0.2731,10951004.1845,0.1145,-0.1183,-0.0654,0.9681,0.0846,True,True,0.8599,7,0.5671,False
BAI,ai/robot,2026-09-25,483.0000,47.5400,-0.1234,0.2629,-0.2490,0.1633,0.0744,-0.0929,0.2371,0.2350,0.0681,0.4955,209717840.9610,0.1407,-0.2145,-0.2112,0.6559,0.0466,True,True,0.9424,6,0.5671,False
XRT,consumer,2026-09-25,753.0000,82.4700,-0.1051,0.1213,-0.5232,-0.0354,-0.0528,-0.1292,-0.1660,-0.2246,-0.0253,0.2009,288599359.0016,0.1174,-0.0870,-0.0074,1.3502,0.1150,True,False,0.5729,3,0.5729,False
OIH,oil/gas,2026-09-25,753.0000,393.6800,-0.1327,0.5218,-0.4700,0.0200,-0.0248,-0.0125,-0.2491,0.3400,-0.0642,0.2824,108437481.4066,0.1530,-0.1223,-0.0866,1.2515,0.0818,True,False,0.5787,4,0.5787,False
PHO,water,2026-09-25,753.0000,68.6300,-0.0751,0.1907,-0.4528,-0.0131,-0.0236,-0.0695,-0.1669,-0.2044,0.0029,0.1658,5387759.3828,0.0812,-0.0718,-0.0678,1.1307,0.1393,True,True,0.6363,5,0.6363,False
EUAD,defense-eu,2026-09-25,483.0000,42.7900,-0.1137,0.2220,-0.5280,-0.0140,-0.0395,-0.0122,-0.1320,-0.2403,-0.0021,0.2154,5344756.3693,0.1283,-0.0933,-0.1204,1.3757,0.1072,True,False,0.6372,3,0.6372,False
XLI,industrials,2026-09-25,753.0000,170.4300,-0.0838,0.0545,-0.5733,-0.0040,-0.0397,-0.1176,-0.1395,-0.0472,-0.0086,0.1461,1327118592.1088,0.0914,-0.0633,-0.0127,1.4451,0.1581,True,False,0.6375,5,0.6375,False
XLB,materials,2026-09-25,753.0000,49.8000,-0.0678,0.2752,-0.3908,-0.0062,-0.0327,-0.0912,-0.1788,-0.0398,-0.0181,0.1736,581490553.7526,0.0728,-0.0752,-0.0024,0.9681,0.1330,True,False,0.6551,3,0.6551,False
XLP,staples,2026-09-25,753.0000,82.0600,-0.0708,0.0777,-0.4418,-0.0062,-0.0255,-0.0856,-0.1767,-0.1056,-0.0094,0.1602,833809824.4071,0.0761,-0.0694,-0.0281,1.0979,0.1442,True,False,0.6553,5,0.6553,False
WGMI,crypto-equity,2026-09-25,753.0000,48.2200,-0.3312,0.3297,-0.3604,-0.0123,-0.0014,-0.3271,0.0986,-0.1078,0.0246,0.9191,27606626.9883,0.4952,-0.3980,-0.1439,1.2444,0.0251,True,True,0.8149,5,0.8149,False
BLOK,crypto-equity,2026-09-25,753.0000,64.2100,-0.1263,0.3992,-0.3132,0.0719,0.0357,-0.0430,0.0685,-0.2119,0.0049,0.4033,14812127.5230,0.1445,-0.1746,-0.2634,0.8277,0.0573,True,True,0.8980,4,0.8149,False
XSD,semis,2026-09-25,753.0000,540.7400,-0.1671,0.1826,-0.3253,0.2011,0.0720,-0.1149,0.4464,0.5140,0.0700,0.5137,61127726.0654,0.2007,-0.2225,-0.1692,0.9021,0.0450,True,True,0.9366,7,0.9366,False
DRAM,semis,2026-09-25,122.0000,61.9100,-0.2330,0.5340,-0.2827,,0.1075,-0.1994,,,0.0475,0.8242,1632111255.2104,0.3038,-0.3569,-0.2756,0.8513,0.0280,True,True,0.9434,3,0.9366,False
PSI,semis,2026-09-25,753.0000,150.5100,-0.1986,0.1676,-0.3086,0.2171,0.0709,-0.1658,0.3869,0.9755,0.0774,0.6437,44047395.9141,0.2479,-0.2787,-0.1981,0.8894,0.0359,True,True,0.9556,7,0.9366,False
SOXX,semis,2026-09-25,753.0000,572.6800,-0.1251,0.3774,-0.2569,0.2781,0.0880,-0.0894,0.5416,0.9556,0.0872,0.4871,3793891381.8958,0.1430,-0.2109,-0.1886,0.6781,0.0474,True,True,0.9874,6,0.9366,False
EWY,korea,2026-09-25,753.0000,187.1800,-0.1461,0.2507,-0.2411,0.2163,0.0704,-0.1119,0.3582,1.2118,-0.0082,0.6060,2340038943.1087,0.1711,-0.2624,-0.2296,0.6519,0.0381,True,False,0.9679,4,0.9679,False
IWM,bench,2026-09-25,753.0000,281.9700,-0.0734,0.2153,-0.5483,0.0275,-0.0389,-0.1178,-0.0565,-0.0004,-0.0214,0.1338,6567815160.8337,0.0792,-0.0579,-0.0011,1.3664,0.1726,False,False,,4,,False
KRE,banks,2026-09-25,753.0000,71.5500,-0.0766,0.3992,-0.4699,0.0265,-0.0400,-0.1035,-0.0791,-0.0335,-0.0263,0.1631,1001583017.4208,0.0830,-0.0706,-0.0164,1.1753,0.1416,False,False,,3,,False
KBE,banks,2026-09-25,753.0000,65.3600,-0.0829,0.2234,-0.5317,0.0200,-0.0449,-0.1001,-0.0834,-0.0648,-0.0340,0.1559,88910596.1106,0.0904,-0.0675,-0.0130,1.3389,0.1482,False,False,,4,,False
KBWB,banks,2026-09-25,753.0000,89.9700,-0.0930,0.1131,-0.5111,0.0254,-0.0574,-0.0932,-0.0376,-0.0051,-0.0664,0.1819,179775847.2671,0.1025,-0.0788,-0.0104,1.3012,0.1269,False,False,,4,,False
GRID,grid/infra,2026-09-25,753.0000,179.5700,-0.0958,0.0790,-0.3788,0.0232,-0.0016,-0.0888,-0.0837,0.0320,-0.0047,0.2530,87228193.5513,0.1060,-0.1096,-0.0689,0.9675,0.0913,False,False,,6,,False
IAK,fin-other,2026-09-25,753.0000,138.1000,-0.0887,0.0163,-0.4901,0.0197,-0.0455,-0.0811,-0.1167,-0.1068,-0.0377,0.1810,15313708.7200,0.0973,-0.0784,-0.0030,1.2420,0.1276,False,False,,7,,False
QTUM,ai/robot,2026-09-25,753.0000,153.7200,-0.0849,0.2098,-0.2546,0.1550,0.0427,-0.0722,0.2311,0.2917,0.0460,0.3332,36587288.1816,0.0927,-0.1443,-0.1423,0.6426,0.0693,False,True,,7,,False
SMH,semis,2026-09-25,753.0000,606.5600,-0.0932,0.3869,-0.2279,0.2298,0.0719,-0.0690,0.3909,0.7155,0.0669,0.4089,3663832919.6228,0.1028,-0.1771,-0.1687,0.5805,0.0565,False,True,,6,,False
XBI,biotech,2026-09-25,753.0000,155.0300,-0.0856,0.3937,-0.2892,0.1243,-0.0171,-0.0630,0.0507,0.4185,-0.0075,0.2961,1369042885.5831,0.0937,-0.1282,-0.0065,0.7305,0.0780,False,False,,4,,False
IHF,health-other,2026-09-25,753.0000,55.8600,-0.0365,0.6403,-0.2456,0.1108,-0.0133,-0.0539,0.1296,-0.0313,-0.0113,0.1487,36507275.4705,0.0379,-0.0644,-0.0161,0.5886,0.1553,False,False,,3,,False
RSP,bench,2026-09-25,753.0000,211.1100,-0.0488,0.1431,-0.4888,0.0361,-0.0239,-0.0532,-0.0885,-0.0401,-0.0138,0.0998,1347571652.4898,0.0513,-0.0432,-0.0040,1.1867,0.2314,False,False,,4,,False
EEM,em,2026-09-25,753.0000,67.9800,-0.0454,0.3297,-0.1824,0.0884,0.0281,-0.0490,0.0301,0.1254,0.0021,0.2487,1248242172.2234,0.0475,-0.1077,-0.1016,0.4413,0.0929,False,True,,6,,False
PPH,health-other,2026-09-25,753.0000,111.3500,-0.0553,0.4114,-0.2656,0.0506,-0.0056,-0.0374,-0.0944,0.1127,0.0175,0.2082,27503248.1166,0.0586,-0.0902,-0.0172,0.6494,0.1109,False,True,,6,,False
XLF,financials,2026-09-25,753.0000,54.8400,-0.0602,0.1662,-0.4649,0.0285,-0.0356,-0.0334,-0.0759,-0.1403,-0.0387,0.1295,1932533885.8981,0.0641,-0.0561,-0.0057,1.1425,0.1783,False,False,,4,,False
EFA,dev-exus,2026-09-25,753.0000,105.5600,-0.0299,0.2684,-0.2253,0.0414,-0.0081,-0.0313,-0.0690,-0.0001,-0.0107,0.1326,1231565905.5774,0.0308,-0.0574,-0.0100,0.5362,0.1742,False,False,,3,,False
IAI,fin-other,2026-09-25,753.0000,180.8800,-0.0842,0.1172,-0.4091,0.0065,-0.0419,-0.0291,-0.0828,-0.1280,-0.0480,0.2059,14819539.6696,0.0920,-0.0892,0.0000,1.0317,0.1121,False,False,,4,,False
AIQ,ai/robot,2026-09-25,753.0000,65.9700,-0.0595,0.2956,-0.2084,0.1580,0.0529,-0.0161,0.2197,0.1616,0.0311,0.2853,59267174.6716,0.0632,-0.1236,-0.1514,0.5116,0.0809,False,True,,6,,False
XT,ai/robot,2026-09-25,753.0000,84.0040,-0.0049,0.7888,-0.0320,0.1023,0.0277,-0.0107,0.0551,0.0954,0.0344,0.1542,5335258.9606,0.0050,-0.0668,-0.0030,0.0742,0.1498,False,True,,6,,False
AMLP,oil/gas,2026-09-25,753.0000,53.0500,-0.0559,0.1621,-0.4345,0.0462,-0.0275,-0.0099,-0.1777,0.0316,-0.0512,0.1286,59459786.1814,0.0592,-0.0557,0.0000,1.0628,0.1796,False,False,,5,,False
QQQ,bench,2026-09-25,753.0000,744.5000,-0.0040,0.7534,-0.0200,0.1210,0.0457,-0.0059,0.0985,0.0755,0.0425,0.1982,23911096113.2947,0.0040,-0.0858,-0.0046,0.0463,0.1165,False,True,,6,,False
EWJ,japan,2026-09-25,753.0000,97.9300,-0.0086,0.7275,-0.0409,0.0920,0.0268,-0.0055,-0.0113,0.0840,-0.0064,0.2105,391279332.3811,0.0087,-0.0912,-0.0216,0.0952,0.1097,False,False,,4,,False
SPY,bench,2026-09-25,753.0000,771.3500,-0.0059,0.5586,-0.0530,0.0791,0.0151,0.0000,0.0000,0.0000,0.0117,0.1120,33407909690.5618,0.0060,-0.0485,-0.0248,0.1231,0.2063,False,True,,5,,False
EWZ,brazil,2026-09-25,753.0000,36.8200,-0.1093,0.4332,-0.4851,0.0221,0.0166,0.0013,-0.1917,0.0597,-0.0359,0.2252,965899748.4477,0.1227,-0.0975,-0.0936,1.2577,0.1025,False,False,,4,,False
XLC,comms,2026-09-25,753.0000,112.9600,-0.0507,0.2193,-0.2438,-0.0024,0.0177,0.0066,-0.1575,-0.2055,0.0065,0.2081,564537156.2786,0.0534,-0.0901,-0.0702,0.5930,0.1110,False,True,,5,,False
XLV,health,2026-09-25,753.0000,170.7000,-0.0246,0.5872,-0.1370,0.1009,0.0214,0.0080,-0.0209,0.0931,0.0362,0.1798,1278595192.5020,0.0253,-0.0778,-0.0350,0.3244,0.1285,False,True,,6,,False
FXI,china,2026-09-25,753.0000,33.9600,-0.1716,0.0749,-0.9730,-0.0613,-0.0353,0.0143,-0.2223,-0.3268,-0.0154,0.1763,589356648.7975,0.2071,-0.0764,-0.0698,2.7125,0.1310,False,False,,4,,False
XLK,tech,2026-09-25,753.0000,196.2700,-0.0075,0.7466,-0.0273,0.2019,0.0651,0.0242,0.2830,0.2374,0.0470,0.2731,1274837431.1589,0.0075,-0.1183,-0.1523,0.0635,0.0846,False,True,,6,,False
SLV,silver,2026-09-25,753.0000,58.1400,-0.4494,0.0586,-1.1725,-0.1185,0.0118,0.0305,-0.2451,0.2807,0.0003,0.3833,950798584.1757,0.8163,-0.1660,-0.1333,4.9181,0.0602,False,True,,8,,False
FCG,oil/gas,2026-09-25,753.0000,29.2000,-0.1030,0.4700,-0.3504,0.0394,-0.0297,0.0313,-0.2943,0.0641,-0.0826,0.2940,31198092.1610,0.1148,-0.1273,-0.1045,0.9022,0.0786,False,False,,4,,False
EWT,taiwan,2026-09-25,753.0000,114.7800,-0.0074,0.7452,-0.0214,0.3125,0.0902,0.0557,0.4356,0.7092,0.0349,0.3473,468481201.3433,0.0075,-0.1504,-0.0199,0.0498,0.0665,False,True,,6,,False
IBB,biotech,2026-09-25,753.0000,209.7700,-0.0331,0.5777,-0.1316,0.1654,0.0399,0.0589,0.0678,0.3046,0.0338,0.2514,313368271.6541,0.0342,-0.1089,-0.0370,0.3143,0.0919,False,True,,6,,False
FDN,internet/ark,2026-09-25,753.0000,291.6100,-0.0177,0.6362,-0.0868,0.0978,0.0252,0.0677,0.0454,-0.1459,0.0093,0.2034,44824065.1357,0.0180,-0.0881,-0.0044,0.2041,0.1136,False,True,,5,,False
COPX,base-metals,2026-09-25,753.0000,86.7300,-0.1008,0.4782,-0.2360,0.0551,0.0034,0.0816,0.0258,0.4128,-0.0203,0.4269,253401434.3750,0.1121,-0.1849,-0.0293,0.6062,0.0541,False,False,,4,,False
XLE,energy,2026-09-25,753.0000,62.0400,-0.0534,0.6308,-0.2454,0.1192,0.0100,0.0984,-0.1800,0.2333,-0.0419,0.2177,2111865619.5704,0.0564,-0.0943,-0.0042,0.5986,0.1061,False,False,,4,,False
ARKK,internet/ark,2026-09-25,753.0000,90.7700,-0.0190,0.8433,-0.0506,0.1702,0.1117,0.1010,0.1452,-0.0918,0.0860,0.3761,404447022.2719,0.0194,-0.1629,-0.3002,0.1191,0.0614,False,True,,5,,False
SIL,silver,2026-09-25,753.0000,91.5600,-0.2232,0.1158,-0.4499,0.0059,0.0235,0.1084,-0.0721,0.1995,-0.0498,0.4961,94072293.3624,0.2873,-0.2148,-0.2201,1.3376,0.0466,False,False,,5,,False
ARKW,internet/ark,2026-09-25,753.0000,163.8800,-0.0866,0.4646,-0.2793,0.1544,0.0830,0.1164,0.1626,-0.2088,0.0540,0.3103,9711622.4151,0.0949,-0.1343,-0.3016,0.7061,0.0744,False,True,,4,,False
XOP,oil/gas,2026-09-25,753.0000,181.5000,-0.0875,0.6458,-0.3041,0.1268,-0.0008,0.1173,-0.2137,0.1896,-0.0690,0.2878,623222907.0452,0.0959,-0.1246,0.0000,0.7696,0.0802,False,False,,4,,False
MAGS,bench,2026-09-25,753.0000,72.6400,-0.0045,0.8174,-0.0203,0.1077,0.0651,0.1185,0.0719,-0.0391,0.0393,0.2224,281210855.9991,0.0045,-0.0963,-0.0077,0.0472,0.1039,False,True,,5,,False
CIBR,cyber,2026-09-25,753.0000,100.9500,-0.0294,0.5858,-0.0869,0.2758,0.0501,0.1219,0.3985,0.1612,0.0694,0.3384,168467966.0522,0.0303,-0.1465,0.0000,0.2067,0.0682,False,True,,6,,False
ARKF,fin-other,2026-09-25,753.0000,46.8800,-0.2023,0.2670,-0.6304,0.0996,0.0665,0.1352,0.0397,-0.3451,0.0397,0.3209,5254586.3264,0.2536,-0.1389,-0.2291,1.8251,0.0720,False,True,,4,,False
HACK,cyber,2026-09-25,753.0000,118.3500,-0.0461,0.4687,-0.1178,0.2888,0.0435,0.1390,0.3610,0.1916,0.0769,0.3914,40615991.7772,0.0483,-0.1695,0.0000,0.2852,0.0590,False,True,,6,,False
IGV,software,2026-09-25,753.0000,106.0100,-0.0944,0.3610,-0.2849,0.1320,0.0456,0.1412,0.1277,-0.2591,0.0442,0.3313,995284617.0024,0.1042,-0.1434,-0.2958,0.7266,0.0697,False,True,,4,,False
GDX,gold,2026-09-25,753.0000,92.8700,-0.1983,0.1335,-0.4103,0.0208,0.0318,0.1454,-0.0746,0.1141,-0.0436,0.4833,2104744275.4623,0.2473,-0.2093,-0.2383,1.1819,0.0478,False,False,,5,,False
GDXJ,gold,2026-09-25,753.0000,121.1100,-0.2246,0.1172,-0.4176,0.0133,0.0358,0.1469,-0.0584,0.1561,-0.0343,0.5378,506200624.6949,0.2897,-0.2329,-0.2432,1.2437,0.0429,False,False,,5,,False
BUG,cyber,2026-09-25,753.0000,44.7100,-0.0511,0.6294,-0.1075,0.3524,0.0744,0.1980,0.5731,0.1022,0.1166,0.4756,64098464.9598,0.0539,-0.2060,0.0000,0.2617,0.0486,False,True,,6,,False
SKYY,software,2026-09-25,753.0000,164.6800,-0.0250,0.6662,-0.0872,0.2478,0.0576,0.2102,0.2964,0.0385,0.0392,0.2872,38140744.7968,0.0257,-0.1244,-0.0490,0.2065,0.0804,False,True,,6,,False
ARKG,biotech,2026-09-25,753.0000,53.3600,-0.0032,0.9441,-0.0071,0.5344,0.1829,0.2272,0.8110,0.7969,0.1712,0.4490,197288503.4225,0.0032,-0.1944,0.0000,0.0164,0.0514,False,True,,6,,False
WCLD,software,2026-09-25,753.0000,40.2800,-0.0665,0.7425,-0.1697,0.2379,0.0338,0.2509,0.2682,-0.0602,0.0387,0.3919,26596449.8306,0.0713,-0.1697,-0.0372,0.4199,0.0589,False,True,,5,,False
IBIT,crypto-spot,2026-09-25,679.0000,47.5700,-0.3327,0.2439,-0.8477,0.1322,0.1628,0.3446,0.0236,-0.4409,0.0868,0.3925,2331335242.4862,0.4986,-0.1700,-0.3002,2.9337,0.0588,False,True,,4,,False
USO,oil/gas,2026-09-25,753.0000,148.3300,-0.0836,0.7016,-0.1602,0.3101,0.0936,0.3455,0.0632,0.7624,-0.0424,0.5217,907347790.9895,0.0912,-0.2259,-0.0287,0.4038,0.0443,False,False,,4,,False
ETHA,crypto-spot,2026-09-25,547.0000,20.3100,-0.4325,0.4034,-0.8746,0.1894,0.2125,0.6474,0.1119,-0.5338,0.0600,0.4946,830469349.7272,0.7622,-0.2141,-0.4220,3.5592,0.0467,False,True,,3,,False
