,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
TAN,solar,2026-09-25,753.0000,44.0600,-0.4040,0.0259,-1.1138,-0.1989,-0.1059,-0.2857,-0.4040,-0.1630,-0.0655,0.3628,36743612.0533,0.6779,-0.1571,-0.0134,4.3159,0.0637,True,False,0.0445,5,0.0445,True
REMX,rare-earth,2026-09-25,753.0000,66.6600,-0.3914,0.0531,-0.9711,-0.2255,-0.0866,-0.2904,-0.4138,-0.1369,-0.0553,0.4031,37836679.3277,0.6431,-0.1745,-0.0311,3.6849,0.0573,True,False,0.0568,5,0.0568,True
KWEB,china,2026-09-25,753.0000,24.5800,-0.3927,0.0150,-1.5917,-0.1633,-0.0702,-0.0340,-0.3302,-0.5519,-0.0008,0.2467,330056859.8660,0.6466,-0.1068,-0.0386,6.0527,0.0936,True,False,0.0768,5,0.0768,True
URNM,nuclear,2026-09-25,753.0000,49.1300,-0.4150,0.0450,-0.8992,-0.1889,-0.0776,-0.1346,-0.3724,-0.3162,-0.0620,0.4616,33600570.8689,0.7095,-0.1999,-0.0407,3.5500,0.0500,True,False,0.1141,5,0.1141,True
NLR,nuclear,2026-09-25,753.0000,105.7800,-0.3565,0.0068,-0.8585,-0.1844,-0.0711,-0.1512,-0.3911,-0.3808,-0.0657,0.4152,40437631.4291,0.5539,-0.1798,-0.0291,3.0807,0.0556,True,False,0.1329,5,0.1141,True
URA,nuclear,2026-09-25,753.0000,40.9100,-0.3381,0.0245,-0.7463,-0.1511,-0.0542,-0.1222,-0.3258,-0.2972,-0.0602,0.4531,139937498.6224,0.5109,-0.1962,-0.0829,2.6041,0.0510,True,False,0.1903,5,0.1141,True
XLU,utilities,2026-09-25,753.0000,39.5100,-0.1549,0.0027,-1.0679,-0.0988,-0.0807,-0.1993,-0.3182,-0.2371,-0.0611,0.1451,963178066.6146,0.1833,-0.0628,-0.0038,2.9184,0.1592,True,False,0.1404,6,0.1404,True
UFO,space,2026-09-25,753.0000,43.5500,-0.3569,0.0218,-1.2949,-0.0774,-0.0263,-0.1167,-0.2499,0.0535,0.0062,0.2756,8723279.5575,0.5550,-0.1194,-0.0184,4.6500,0.0838,True,True,0.1536,9,0.1536,True
ARKX,space,2026-09-25,753.0000,32.6950,-0.1337,0.1294,-0.4948,0.0099,0.0112,-0.0368,-0.1072,0.0001,0.0269,0.2701,11832068.1044,0.1543,-0.1170,-0.0971,1.3191,0.0855,True,True,0.7392,7,0.1536,True
SHLD,defense-us,2026-09-25,753.0000,61.4600,-0.2097,0.0259,-0.9063,-0.0956,-0.0502,-0.0048,-0.3406,-0.2671,-0.0047,0.2314,99420915.9810,0.2654,-0.1002,-0.0561,2.6485,0.0998,True,False,0.1590,5,0.1590,True
XAR,defense-us,2026-09-25,753.0000,239.4600,-0.1926,0.0054,-0.7347,-0.1044,-0.0921,-0.1866,-0.2694,-0.1202,-0.0259,0.2621,75363245.5946,0.2385,-0.1135,-0.0004,2.1015,0.0881,True,False,0.2222,7,0.1590,True
ITA,defense-us,2026-09-25,753.0000,213.8100,-0.1547,0.0041,-0.7346,-0.0705,-0.0821,-0.1567,-0.2286,-0.1269,-0.0226,0.2105,178916212.0553,0.1830,-0.0912,-0.0049,2.0068,0.1097,True,False,0.3246,7,0.1590,True
PPA,defense-us,2026-09-25,753.0000,159.3200,-0.1381,0.0095,-0.6994,-0.0666,-0.0660,-0.1292,-0.2472,-0.1211,-0.0124,0.1974,35844616.6560,0.1602,-0.0855,-0.0021,1.8738,0.1170,True,False,0.3434,7,0.1590,True
ICLN,clean,2026-09-25,753.0000,17.2300,-0.2726,0.0082,-0.9480,-0.0825,-0.0323,-0.1771,-0.2436,-0.0294,-0.0385,0.2875,124460700.8704,0.3747,-0.1245,-0.0209,3.0097,0.0803,True,False,0.2170,7,0.2170,True
PBW,clean,2026-09-25,753.0000,30.0200,-0.3516,0.0981,-0.8815,-0.1261,-0.0650,-0.2387,-0.2312,-0.1247,-0.0260,0.3989,10464917.6445,0.5423,-0.1727,-0.0143,3.1397,0.0579,True,False,0.2229,5,0.2170,True
QCLN,clean,2026-09-25,753.0000,49.3100,-0.2798,0.0599,-0.7014,-0.0574,-0.0157,-0.2017,-0.1273,-0.0031,-0.0036,0.3990,5457250.7985,0.3886,-0.1728,-0.0574,2.2492,0.0579,True,False,0.4909,5,0.2170,True
LIT,lithium,2026-09-25,753.0000,69.0200,-0.2434,0.1567,-0.9238,-0.0737,-0.0441,-0.1478,-0.2166,0.0812,-0.0346,0.2635,14530772.9450,0.3218,-0.1141,-0.0330,2.8198,0.0876,True,False,0.2681,5,0.2681,True
IGF,grid/infra,2026-09-25,753.0000,62.3800,-0.0881,0.0041,-0.9881,-0.0425,-0.0452,-0.1355,-0.2488,-0.1222,-0.0261,0.0892,55066792.4737,0.0966,-0.0386,-0.0026,2.5024,0.2590,True,False,0.2749,7,0.2749,True
PAVE,grid/infra,2026-09-25,753.0000,53.4700,-0.1071,0.1063,-0.6048,-0.0131,-0.0421,-0.1504,-0.1337,-0.0229,-0.0113,0.1771,86450088.4141,0.1200,-0.0767,-0.0135,1.5642,0.1304,True,False,0.6121,4,0.2749,True
IHI,health-other,2026-09-25,753.0000,51.6000,-0.1957,0.0845,-0.7846,-0.0552,-0.0297,-0.0480,-0.2484,-0.3145,0.0157,0.2495,123640729.5225,0.2434,-0.1080,-0.0813,2.2528,0.0926,True,True,0.3059,6,0.3059,True
GLD,gold,2026-09-25,753.0000,393.4100,-0.2067,0.0599,-0.8639,-0.0553,-0.0051,-0.0078,-0.2198,-0.0335,-0.0134,0.2392,4086060023.6371,0.2605,-0.1036,-0.0723,2.5149,0.0965,True,False,0.3189,5,0.3189,True
INDA,india,2026-09-25,753.0000,47.8600,-0.1344,0.1076,-1.0680,-0.0431,-0.0264,-0.0950,-0.1750,-0.2719,-0.0146,0.1258,245062808.9940,0.1552,-0.0545,-0.0510,2.8493,0.1835,True,False,0.3457,3,0.3457,True
ITB,housing,2026-09-25,753.0000,89.4300,-0.2031,0.2507,-0.6985,-0.0757,-0.0501,-0.2010,-0.2017,-0.3331,0.0072,0.2907,195471210.8378,0.2548,-0.1259,-0.0454,2.0243,0.0794,True,True,0.3625,4,0.3625,True
XHB,housing,2026-09-25,753.0000,98.3200,-0.1817,0.1689,-0.7058,-0.0691,-0.0514,-0.2058,-0.1921,-0.2802,0.0042,0.2574,187619336.9566,0.2220,-0.1115,-0.0419,1.9918,0.0897,True,True,0.3693,5,0.3625,True
