,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
PBW,clean,2026-09-21,751.0000,30.9600,-0.3313,0.1571,-0.8123,-0.0992,-0.0443,-0.2838,-0.1795,-0.0506,-0.0173,0.4079,10819771.9465,0.4955,-0.1766,-0.0442,2.8055,0.0566,True,False,0.2676,4,0.2676,True
ICLN,clean,2026-09-21,751.0000,17.8000,-0.2485,0.0587,-0.8276,-0.0514,-0.0066,-0.2188,-0.2104,0.0121,0.0017,0.3003,125762267.0099,0.3307,-0.1300,-0.0522,2.5432,0.0769,True,True,0.2895,8,0.2676,True
QCLN,clean,2026-09-21,751.0000,48.9100,-0.2857,0.0478,-0.6754,-0.0639,-0.0310,-0.2922,-0.1301,0.0035,-0.0105,0.4230,6518005.2747,0.3999,-0.1831,-0.0497,2.1836,0.0546,True,False,0.4368,7,0.2676,True
XAR,defense-us,2026-09-21,751.0000,243.5500,-0.1788,0.0123,-0.6640,-0.0885,-0.0832,-0.1647,-0.2568,-0.1074,-0.0365,0.2692,70193987.2659,0.2177,-0.1166,-0.0157,1.8674,0.0858,True,False,0.2735,7,0.2735,True
ITA,defense-us,2026-09-21,751.0000,216.1400,-0.1454,0.0123,-0.6807,-0.0595,-0.0786,-0.1229,-0.2257,-0.1163,-0.0409,0.2137,173239356.0751,0.1702,-0.0925,-0.0106,1.8396,0.1081,True,False,0.3234,7,0.2735,True
PPA,defense-us,2026-09-21,751.0000,161.1700,-0.1281,0.0164,-0.6298,-0.0548,-0.0600,-0.1054,-0.2423,-0.1113,-0.0213,0.2033,33581917.0562,0.1469,-0.0880,-0.0135,1.6681,0.1136,True,False,0.3301,7,0.2735,True
GLD,gold,2026-09-21,751.0000,398.3800,-0.1967,0.0683,-0.8239,-0.0430,0.0127,-0.0058,-0.2350,0.0032,-0.0206,0.2387,4549554318.1810,0.2448,-0.1034,-0.0839,2.3685,0.0968,True,False,0.2822,6,0.2822,True
ITB,housing,2026-09-21,751.0000,88.2000,-0.2140,0.1995,-0.7624,-0.0907,-0.0692,-0.1279,-0.1894,-0.3761,-0.0529,0.2807,180476627.2087,0.2723,-0.1216,-0.0321,2.2402,0.0823,True,False,0.2884,2,0.2884,True
XHB,housing,2026-09-21,751.0000,96.9600,-0.1930,0.1311,-0.7749,-0.0834,-0.0718,-0.1482,-0.1813,-0.3263,-0.0557,0.2491,172923192.0030,0.2391,-0.1078,-0.0285,2.2175,0.0927,True,False,0.3027,3,0.2884,True
INDA,india,2026-09-21,751.0000,48.5000,-0.1228,0.1612,-0.9872,-0.0325,-0.0146,-0.0701,-0.1577,-0.2814,-0.0283,0.1244,252595163.1605,0.1400,-0.0539,-0.0635,2.5990,0.1856,True,False,0.3539,3,0.3539,True
IGF,grid/infra,2026-09-21,751.0000,63.3300,-0.0742,0.0096,-0.8230,-0.0272,-0.0359,-0.0876,-0.2152,-0.1038,-0.0269,0.0902,49237391.3453,0.0802,-0.0390,-0.0054,2.0531,0.2561,True,False,0.3670,7,0.3670,True
PAVE,grid/infra,2026-09-21,751.0000,53.0800,-0.1136,0.0943,-0.6201,-0.0184,-0.0534,-0.1441,-0.1139,-0.0439,-0.0377,0.1833,83896394.4263,0.1282,-0.0794,-0.0062,1.6156,0.1260,True,False,0.5923,5,0.3670,True
LIT,lithium,2026-09-21,751.0000,70.8300,-0.2236,0.2186,-0.8231,-0.0476,-0.0198,-0.1802,-0.1366,0.1743,-0.0452,0.2716,20117784.0709,0.2880,-0.1176,-0.0577,2.4484,0.0850,True,False,0.3955,5,0.3955,True
VNM,vietnam,2026-09-21,751.0000,17.4100,-0.1207,0.2514,-0.5185,-0.0435,-0.0026,-0.1082,-0.1390,-0.2037,-0.0413,0.2328,11418040.8051,0.1373,-0.1008,-0.0615,1.3618,0.0992,True,False,0.4996,2,0.4996,True
XRT,consumer,2026-09-21,751.0000,82.5600,-0.1041,0.1230,-0.5264,-0.0349,-0.0569,-0.0741,-0.1416,-0.2414,-0.0554,0.1978,292935192.7227,0.1162,-0.0857,-0.0085,1.3569,0.1168,True,False,0.5069,3,0.5069,False
XLY,discretionary,2026-09-21,751.0000,112.2300,-0.0931,0.1612,-0.4653,-0.0350,-0.0243,-0.0631,-0.1505,-0.2411,-0.0212,0.2001,653741447.9830,0.1027,-0.0866,-0.0625,1.1850,0.1154,True,False,0.5414,3,0.5414,False
PHO,water,2026-09-21,751.0000,68.2700,-0.0799,0.1639,-0.4858,-0.0192,-0.0290,-0.0188,-0.1574,-0.2295,-0.0315,0.1646,5015856.1517,0.0869,-0.0713,-0.0629,1.2194,0.1403,True,False,0.5559,3,0.5559,False
BOTZ,ai/robot,2026-09-21,751.0000,35.8200,-0.1391,0.0984,-0.5245,-0.0293,0.0032,-0.1067,-0.1321,-0.1564,-0.0036,0.2653,22637755.4263,0.1616,-0.1149,-0.0597,1.4069,0.0871,True,False,0.5564,4,0.5564,False
ARKQ,ai/robot,2026-09-21,751.0000,125.4900,-0.1275,0.1899,-0.3981,0.0107,0.0311,-0.0767,-0.1042,-0.0003,0.0265,0.3201,10943245.7261,0.1461,-0.1386,-0.1269,1.0538,0.0721,True,True,0.7602,6,0.5564,False
AIPO,ai/robot,2026-09-21,291.0000,29.0600,-0.1642,0.0882,-0.3992,0.0399,-0.0041,-0.2059,-0.0255,0.1339,-0.0003,0.4114,33870192.1312,0.1965,-0.1781,-0.0950,1.1030,0.0561,True,False,0.8029,6,0.5564,False
ROBO,ai/robot,2026-09-21,751.0000,80.2900,-0.1112,0.1120,-0.3979,0.0314,-0.0013,-0.1151,-0.0205,0.0315,-0.0035,0.2796,13313926.0340,0.1252,-0.1211,-0.0564,1.0339,0.0826,True,False,0.8097,5,0.5564,False
BAI,ai/robot,2026-09-21,479.0000,46.9300,-0.1346,0.2326,-0.2548,0.1557,0.0648,-0.1763,0.2031,0.1907,0.0525,0.5282,102285726.1888,0.1556,-0.2287,-0.2009,0.6801,0.0437,True,True,0.9152,7,0.5564,False
XME,base-metals,2026-09-21,751.0000,109.0000,-0.1783,0.1148,-0.4913,-0.0402,-0.0177,-0.0950,-0.1251,0.0449,-0.0805,0.3629,185033943.3488,0.2170,-0.1571,-0.1054,1.3808,0.0636,True,False,0.5632,5,0.5632,False
XLI,industrials,2026-09-21,751.0000,169.9800,-0.0862,0.0451,-0.5653,-0.0047,-0.0465,-0.1042,-0.1389,-0.0537,-0.0276,0.1525,1290073532.4367,0.0943,-0.0660,-0.0101,1.4285,0.1515,True,False,0.5780,6,0.5780,False
IYT,transport,2026-09-21,751.0000,79.8600,-0.1108,0.0970,-0.7044,-0.0108,-0.0661,-0.0956,-0.1015,-0.0450,-0.0491,0.1572,65317937.9268,0.1246,-0.0681,0.0000,1.8294,0.1469,True,False,0.5790,5,0.5790,False
JETS,transport,2026-09-21,751.0000,29.0100,-0.1348,0.2199,-0.4901,0.0179,-0.0374,-0.1053,0.0056,-0.0550,0.0073,0.2750,112960986.1955,0.1558,-0.1191,-0.0417,1.3083,0.0840,True,True,0.7333,6,0.5790,False
XLP,staples,2026-09-21,751.0000,81.9200,-0.0723,0.0656,-0.4467,-0.0065,-0.0286,-0.0383,-0.1715,-0.1184,-0.0251,0.1619,804862729.9333,0.0780,-0.0701,-0.0264,1.1121,0.1426,True,False,0.5907,5,0.5907,False
OIH,oil/gas,2026-09-21,751.0000,396.6300,-0.1262,0.5505,-0.4317,0.0327,-0.0150,-0.0218,-0.1737,0.3779,-0.0723,0.2923,114249397.3483,0.1444,-0.1266,-0.0934,1.1411,0.0790,True,False,0.6473,4,0.6473,False
ARGT,argentina,2026-09-21,751.0000,92.3900,-0.0992,0.2773,-0.4707,-0.0005,-0.0163,-0.0630,-0.1148,0.1517,-0.0417,0.2108,12734145.3254,0.1102,-0.0913,-0.0778,1.2067,0.1095,True,False,0.6763,4,0.6763,False
XLB,materials,2026-09-21,751.0000,49.7100,-0.0695,0.2637,-0.4028,-0.0053,-0.0350,-0.0743,-0.1270,-0.0647,-0.0477,0.1726,567559321.4109,0.0747,-0.0747,0.0000,0.9997,0.1338,True,False,0.6896,3,0.6896,False
DTCR,reit,2026-09-21,751.0000,28.6900,-0.1129,0.1216,-0.4172,0.0756,0.0218,-0.1546,0.0011,0.2487,0.0181,0.2706,17280705.8421,0.1273,-0.1172,-0.0742,1.0861,0.0853,True,True,0.8174,7,0.8174,False
WGMI,crypto-equity,2026-09-21,751.0000,50.9400,-0.2935,0.4126,-0.3170,0.0450,0.0523,-0.3340,0.1532,0.0556,0.0729,0.9259,30658973.9774,0.4154,-0.4009,-0.1896,1.0361,0.0249,True,True,0.8731,6,0.8731,False
PSI,semis,2026-09-21,751.0000,144.8800,-0.2286,0.1107,-0.3337,0.1845,0.0288,-0.2562,0.3322,0.8546,0.0653,0.6852,43141666.1959,0.2964,-0.2967,-0.1669,0.9990,0.0337,True,True,0.9158,7,0.9158,False
XSD,semis,2026-09-21,751.0000,524.5600,-0.1921,0.1257,-0.3555,0.1752,0.0400,-0.2322,0.4294,0.4551,0.0678,0.5403,55305582.5266,0.2377,-0.2340,-0.1436,1.0161,0.0427,True,True,0.9159,7,0.9158,False
DRAM,semis,2026-09-21,118.0000,61.5800,-0.2371,0.5253,-0.2760,,0.1095,-0.2788,,,0.0317,0.8592,1641080875.0483,0.3108,-0.3720,-0.2717,0.8354,0.0269,True,True,0.9167,3,0.9158,False
SMH,semis,2026-09-21,751.0000,596.0300,-0.1090,0.3210,-0.2469,0.2203,0.0559,-0.1506,0.3505,0.7024,0.0512,0.4412,3639706282.9178,0.1223,-0.1911,-0.1540,0.6400,0.0523,True,True,0.9647,6,0.9158,False
SOXX,semis,2026-09-21,751.0000,559.3400,-0.1455,0.3033,-0.2752,0.2630,0.0656,-0.1872,0.4854,0.9133,0.0766,0.5286,3761848659.1690,0.1703,-0.2289,-0.1692,0.7438,0.0437,True,True,0.9792,6,0.9158,False
