,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
KWEB,china,2026-09-17,753.0000,24.4000,-0.3971,0.0082,-1.5597,-0.1782,-0.0841,-0.0705,-0.3306,-0.5434,-0.0506,0.2546,336441425.9706,0.6588,-0.1103,-0.0316,5.9748,0.0907,True,False,0.0532,0.0532,True
FXI,china,2026-09-17,753.0000,34.1900,-0.1660,0.0872,-0.9327,-0.0583,-0.0267,-0.0158,-0.2075,-0.3200,-0.0380,0.1780,552347571.7363,0.1990,-0.0771,-0.0760,2.5825,0.1298,True,False,0.2459,0.0532,True
REMX,rare-earth,2026-09-17,753.0000,69.1000,-0.3691,0.1076,-0.9180,-0.1979,-0.0666,-0.3124,-0.3618,-0.0070,-0.0942,0.4021,43453935.0056,0.5851,-0.1741,-0.0653,3.3603,0.0574,True,False,0.0591,0.0591,True
TAN,solar,2026-09-17,753.0000,46.3600,-0.3729,0.0436,-1.0463,-0.1581,-0.0803,-0.2387,-0.3397,-0.0818,-0.0193,0.3564,45872164.5600,0.5947,-0.1543,-0.0375,3.8534,0.0648,True,False,0.0727,0.0727,True
URNM,nuclear,2026-09-17,753.0000,51.3100,-0.3891,0.0817,-0.8711,-0.1550,-0.0378,-0.1329,-0.3388,-0.2046,-0.0662,0.4467,45666953.6518,0.6369,-0.1934,-0.0815,3.2931,0.0517,True,False,0.1056,0.1056,True
NLR,nuclear,2026-09-17,753.0000,110.5700,-0.3273,0.0218,-0.8079,-0.1517,-0.0311,-0.1448,-0.3446,-0.2762,-0.0552,0.4052,43324969.8678,0.4866,-0.1754,-0.0712,2.7734,0.0570,True,False,0.1251,0.1056,True
URA,nuclear,2026-09-17,753.0000,42.6800,-0.3095,0.0436,-0.7078,-0.1158,-0.0112,-0.1257,-0.2893,-0.1602,-0.0370,0.4373,160919630.8845,0.4482,-0.1893,-0.1209,2.3673,0.0528,True,False,0.2241,0.1056,True
SLV,silver,2026-09-17,753.0000,58.9700,-0.4416,0.0627,-1.1005,-0.1033,0.0400,-0.0589,-0.3007,0.3595,-0.0017,0.4012,1032397791.5204,0.7907,-0.1737,-0.1455,4.5512,0.0576,True,False,0.1196,0.1196,True
UFO,space,2026-09-17,753.0000,43.6600,-0.3553,0.0204,-1.1094,-0.0695,-0.0294,-0.1757,-0.1983,0.1062,0.0121,0.3202,8176991.3441,0.5511,-0.1387,-0.0208,3.9741,0.0721,True,True,0.2064,0.2064,True
ARKX,space,2026-09-17,753.0000,32.3000,-0.1441,0.0981,-0.5044,0.0022,0.0030,-0.0959,-0.1258,0.0388,0.0141,0.2857,13203834.4021,0.1684,-0.1237,-0.0861,1.3612,0.0808,True,True,0.6493,0.2064,True
